Warsaw School of Social Psychology	Poznan	Poland
Sheffield Hallam University	Sheffield	UK
CUHK	HK	China
Panafold	Mountain View	US
University of Otago	Dunedin	New Zealand
Technical University of Lisbon	Lisbon	Portugal
Hasso Plattner Institute	Potsdam	Germany
IRISA/INSA de Rennes	Rennes	France
Sungkyunkwan University	Seoul	Republic of Korea
New York Hall of Science	Corona	US
Naval Research Laboratory	Washington	US
MIT Media Lab	Cambridge	US
University of Iceland	Reykjavik	Iceland
Hokkaido University	Sapporo	Japan
University of Applied Sciences Upper Austria	Wels	Austria
Intel Labs	Hillsboro	US
Virginia Polytechnic Institute and State University	Blacksburg	US
Fudan University	Shanghai	China
Marquette University	Milwaukee	US
FX Palo Alto Laboatory, Inc.	Palo Alto	US
Crotched Mountain Rehabilitation Center	Greenfield	US
University of Sydney	Sydney	Australia
Data2Text	Aberdeen	UK
University of Grenoble - LIG/IIHM - Grenoble-INP - CNRS	Grenoble	France
Shinshu University	Ueda	Japan
New York University - Abu Dhabi	Abu Dhabi	United Arab Emirates
MIT Media Laboratory	Cambridge	US
University of Primorska	Koper	Slovenia
IBM Research	Yorktown Heights	US
Chinese Academy of Sciences	Beijing	China
Interactive Institute	Gothenburg	Sweden
Autodesk, Inc.	Lake Oswego	US
Horizon Hub	Nottingham	UK
Institute of Applied Arts	Hsinchu	Taiwan
Brain science institute, RIKEN	Wako	Japan
Microsoft Research	Cambridge	UK
Graduate School of Information Science and Technology, Osaka University	Osaka	Japan
Qualcomm Corporate R&D	Cambridge	UK
NASA Johnson Space Center	Houston	US
SMART Technologies	Calgary	Canada
Royal college of Art	London	UK
Sokendai	Tokyo	Japan
Oracle	Denver	US
Indiana University	Bloomington	US
Swedish Institute of Computer Science	Kista	Sweden
Professional Usability Services	London	UK
IBM Japan Ltd.	Osaka	Japan
Singapore National Eyes Center	Singapore	Singapore
University of Wyoming	Laramie	US
Institute of Communications Engineering	Ulm	Germany
University College Cork	Cork	Ireland
Palo Alto Research Center (PARC)	Palo Alto	US
Adobe Systems	San Francisco	US
ATR Intelligent Robotics and Communication Laboratories	Soraku-gun	Japan
National Taipei University	Taipei	Taiwan
University of Nebraska, Lincoln	Lincoln	US
Aalborg University	Aalborg	Denmark
University of Birmingham	Birmingham	UK
University of New Hampshire	Durham	US
IBM	Buenos Aires	Argentina
Singapore Management University	Singapore	Singapore
McGill University	Montreal	Canada
Alcatel-Lucent Bell Labs	Bangalore	India
Research department	Gothenburg	Sweden
Technical University of Catalonia	Castelldefels	Spain
Alexandra Institute	Aarhus	Denmark
University of Turin	Turin	Italy
University of Malta	Msida	Malta
Heriot-Watt University	Edinburgh	UK
National Research Council Canada	Fredericton	Canada
Baylor University	Waco	US
Sharif University of Technology	Tehran	Iran, Islamic Republic of
UNC Charlotte	Charlotte	US
The University of North Carolina at Charlotte	Charlotte	US
OFFIS - Institute for Information Technology	Oldenburg	Germany
Rotterdam School of Management	Rotterdam	The Netherlands
Alcatel-Lucent Bell Labs	Murray Hill	US
Universidad Nacional	heredia	Costa Rica
C-DAC	Pune	India
University of Split	Split	Croatia
Univercity of Electro-Communications	Chofu	Japan
Rotterdam University of applied sciences	Rotterdam	The Netherlands
University of Helsinki	Helsinki	Finland
School of Interactive Computing	Atlanta	US
Montana Tech of The University of Montana	Butte	US
KTH	Kista	Sweden
The University of Tokyo	Meguro-ku	Japan
Cyprus University of Technology	Limassol	Cyprus
University of Tokyo	Tokyo	Japan
Fontys University of Applied Science	Eindhoven	The Netherlands
Budapest University of Technology and Economics	Budapest	Hungary
Technical Research Centre of Finland	Espoo	Finland
University of Minnesota	Minneapolis	US
Warsaw School of Social Psychology	Warsaw	Poland
SAP	Palo Alto	US
Clarice Technologies	Pune	India
Twist Open Innovations	Bangalore	India
Beijng Institute of Fashion Technology	Beijing	China
Nokia Research Center	Helsinki	Finland
Horizon Doctoral Training Centre	Nottingham	UK
National Tsing Hua University	Hsin Chu	Taiwan
Pratt Institute	New York	US
Reutlingen University	Reutlingen	Germany
Telecom Italia	Milano	Italy
University of Texas at Austin	Austin	US
Indiana University Bloomongton	Bloomington	US
The Australian National University	Canberra	Australia
HP	Palo Alto	US
University of Strathclyde	Glasgow	UK
MSU	East Lansing	US
CNRS	Orsay	France
Hans Bredow Institute for Media Research	Hamburg	Germany
University of Koblenz-Landau	Koblenz	Germany
University of Massachusetts Lowell	Lowell	US
University of Glasgow	Glasgow	UK
University of Massachusetts	Amherst	US
Aaron Marcus and Associates, Inc.	Berkeley	US
Empirical, Inc.	Portland	US
Humboldt Institute for Internet and Society	Berlin	Germany
University of Illinois at Chicago	Chicago	US
University of Oslo	Oslo	Norway
University College Falmouth	Falmouth	UK
Tohoku University	Sendai	Japan
University of Bremen, TZI	Bremen	Germany
Rakuten Inc.	Tokyo	Japan
Univ. Paul Sabatier	Toulouse	France
Dalhousie University	Halifax	Canada
FTW Telecommunications Research Center	Vienna	Austria
Osaka Prefecture University	Osaka	Japan
Research Studios Austria	Vienna	Austria
t2i Lab, Chalmers	Gothenburg	Sweden
Technical University of Valencia	Valencia	Spain
Universidad Publica de Navarra	Pamplona	Spain
University of Fribourg	Fribourg	Switzerland
Delft University of Technology	Delft	The Netherlands
Hasselt University	Diepenbeek	Belgium
NCSU	Raleigh	US
Loughborough University	Loughborough	UK
King Abdulaziz University	Jeddah	Saudi Arabia
Renault	Guyancourt	France
PUC-Rio	Rio de Janeiro	Brazil
Huazhong Univ. of Science & Technology	Wuhan	China
University at Albany, State University of New York	Albany	US
Arizona State University	Mesa	US
School of Software and Microelectronics	Xi'an	China
University of Leicester	Leicester	UK
University of California, Los Angeles	Los Angeles	US
Glasgow Caledonian University	Glasgow	UK
Carnegie Mellon University	Pittsburgh	US
University of Saskatchewan	Saskatoon	Canada
IBM Research	San Jose	US
"National Autonomous University of Mexico
"	Mexico city	Mexico
Institute for Pervasive Computing	Linz	Austria
Microsoft Corporation	Beijing	China
Norwegian University of Science and Technology	Trondheim	Norway
Active Ingredient	Nottingham	UK
Syntagm Ltd	Abingdon	UK
University of Nevada, Reno	Reno	US
Newcastle University	Newcastle Upon Tyne	UK
KU Leuven - University of Leuven	Leuven	Belgium
Shenzhen Institutes of Advanced Technology (SIAT)	Shenzhen	China
Wearable Computing Lab.	Zurich	Switzerland
Indep. Consultant	London	UK
Spigit Inc.	Pleasanton	US
Coursera, Inc.	Mountain View	US
University of Zaragoza	Zaragoza	Spain
University of Madeira	Funchal	Portugal
Makerere University	kampala	Uganda
SAP Research Darmstadt	Darmstadt	Germany
