Institute,City,Country
Warsaw School of Social Psychology,Poznan,Poland
Sheffield Hallam University,Sheffield,UK
University College London,London,UK
CUHK,HK,China
Panafold,Mountain View,US
The Pennsylvania State University,University Park,US
Department of Information Science,Dunedin,New Zealand
Technical University of Lisbon,Lisbon,Portugal
Hasso Plattner Institute,Potsdam,Germany
IRISA/INSA de Rennes,Rennes,France
Sungkyunkwan University,Seoul,Republic of Korea
New York Hall of Science,Corona,US
Naval Research Laboratory,Washington,US
University of Central Florida,Orlando,US
Qualcomm R&D,Cambridge,UK
MIT Media Lab,Cambridge,US
University of Iceland,Reykjavik,Iceland
Hokkaido University,Sapporo,Japan
University of Applied Sciences Upper Austria,Wels,Austria
University of Victoria,victoria,Canada
Intel Labs,Hillsboro,US
Virginia Polytechnic Institute and State University,Blacksburg,US
Fudan University,Shanghai,China
University of Munich (LMU),Munich,Germany
Marquette University,Milwaukee,US
"FX Palo Alto Laboatory, Inc.",Palo Alto,US
Crotched Mountain Rehabilitation Center,Greenfield,US
Shenzhen Institutes of Advanced Technology (SIAT),Shenzhen,China
University of Sydney,Sydney,Australia
Data2Text,Aberdeen,UK
"University of Salzburg - ICT&S, Salzburg, Salzburg",Salzburg,Austria
University of Grenoble - LIG/IIHM - Grenoble-INP - CNRS,Grenoble,France
Shinshu University,Ueda,Japan
New York University - Abu Dhabi,Abu Dhabi,United Arab Emirates
Mobile Life@SICS,Kista,Sweden
MIT Media Laboratory,Cambridge,US
University of Primorska,Koper,Slovenia
IBM Research,Yorktown Heights,US
Chinese Academy of Sciences,Beijing,China
Interactive Institute,Gothenburg,Sweden
"Autodesk, Inc.",Lake Oswego,US
Horizon Hub,Nottingham,UK
Institute of Applied Arts,Hsinchu,Taiwan
"Brain science institute, RIKEN",Wako,Japan
Microsoft Research,Cambridge,UK
"Graduate School of Information Science and Technology, Osaka University",Osaka,Japan
Qualcomm Corporate R&D,Cambridge,UK
NASA Johnson Space Center,Houston,US
SMART Technologies,Calgary,Canada
Royal college of Art,London,UK
SOKENDAI,Tokyo,Japan
Oracle,Denver,US
"School of Library and Information Science, Indiana University Bloomington",Bloomington,US
Edinburgh Napier University,Edinburgh,Scotland
University of Illinois - Chicago,Chicago,US
Swedish Institute of Computer Science,Kista,Sweden
Professional Usability Services,London,UK
IBM Japan Ltd.,Osaka,Japan
Singapore National Eyes Center,Singapore,Singapore
University of Wyoming,Laramie,US
University of Calgary,calgary,Canada
University of Colorado Boulder,Boulder,US
Institute of Communications Engineering,Ulm,Germany
University College Cork,Cork,Ireland
Palo Alto Research Center (PARC),Palo Alto,US
Adobe Systems,San Francisco,US
ATR Intelligent Robotics and Communication Laboratories,Soraku-gun,Japan
Department of Computer Science and Information Engineering,Taipei,Taiwan
University of North Carolina at Charlotte,Charlotte,US
University of Nebraska-Lincoln,Lincoln,US
Aalborg University,Aalborg,Denmark
University of Birmingham,Birmingham,UK
University of New Hampshire,Durham,US
IBM,Buenos Aires,Argentina
Singapore Management University,Singapore,Singapore
McGill University,Montreal,Canada
Alcatel-Lucent Bell Labs,Bangalore,India
Research department,Gothenburg,Sweden
Technical University of Catalonia,Castelldefels,Spain
Alexandra Institute,Aarhus,Denmark
University of Turin,Turin,Italy
University of Malta,Msida,Malta
Heriot-Watt University,Edinburgh,UK
National Research Council Canada,Fredericton,Canada
Baylor University,Waco,US
Sharif University of Technology,Tehran,"Iran, Islamic Republic of"
UNC Charlotte,Charlotte,US
The University of North Carolina at Charlotte,Charlotte,US
"Rutgers, the State University of New Jersey",New Brunswick,US
OFFIS - Institute for Information Technology,Oldenburg,Germany
Rotterdam School of Management,Rotterdam,The Netherlands
The DuKode Studio,Brooklyn,US
Alcatel-Lucent Bell Labs,Murray Hill,US
University of Washington,Seattle,US
unaffiliated,Seattle,US
"School of Design, Queensland University of Technology",Brisbane,Australia
universidad nacional,heredia,Costa Rica
C-DAC,Pune,India
University of Split,Split,Croatia
Univercity of Electro-Communications,Chofu,Japan
Rotterdam University of applied sciences,Rotterdam,The Netherlands
University of Helsinki,Helsinki,Finland
"School of Interactive Computing, Atlanta, United States",Atlanta,US
Montana Tech of The University of Montana,Butte,US
KTH,Kista,Sweden
The University of Tokyo,Meguro-ku,Japan
Cyprus University of Technology,Limassol,Cyprus
University of Wisconsin-Madison,Madison,US
University of Tokyo,Tokyo,Japan
Fontys University of Applied Science,Eindhoven,The Netherlands
Budapest University of Technology and Economics,Budapest,Hungary
Technical Research Centre of Finland,Espoo,Finland
University of Minnesota,Minneapolis,US
University of Illinois-Urbana,Urbana,US
Warsaw School of Social Psychology,Warsaw,Poland
SAP,Palo Alto,US
Clarice Technologies,Pune,India
University of Maryland College Park,College Park,US
Twist Open Innovations,Bangalore,India
Beijng Institute of Fashion Technology,Beijing,China
Nokia Research Center,Helsinki,Finland
Horizon Doctoral Training Centre,Nottingham,UK
National Tsing Hua University,Hsin Chu,Taiwan
Pratt Institute,New York,US
Reutlingen University,Reutlingen,Germany
Telecom Italia,Milano,Italy
University of Texas at Austin,Austin,US
Indiana University Bloomongton,Bloomington,US
University of Leicester,University of Leicester,UK
The Australian National University,Canberra,Australia
HP,Palo Alto,US
University of Strathclyde,Glasgow,UK
MSU,East Lansing,US
School of Information - UC Berkeley,Berkeley,US
CNRS,Orsay,France
Heriot Watt University,Edinburgh,UK
Hans Bredow Institute for Media Research,Hamburg,Germany
University of Santa Scruz,Santa Cruz,US
Ohio State University,Columbus,US
University of Koblenz-Landau,Koblenz,Germany
"Ulm University, Institute of Communications Engineering",Ulm,Germany
University of Massachusetts Lowell,Lowell,US
University of Glasgow,Glasgow,UK
Intel,Beijing,China
University of Massachusetts,Amherst,US
"Aaron Marcus and Associates, Inc.",Berkeley,US
"Empirical, Inc.",Portland,US
Humboldt Institute for Internet and Society,Berlin,Germany
University of Illinois at Chicago,Chicago,US
"University of Colorado, Boulder",Boulder,US
University of Oslo,Oslo,Norway
University College Falmouth,Falmouth,UK
Tohoku University,Sendai,Japan
"University of Bremen, TZI",Bremen,Germany
National University of SIngapore,Singapore,Singapore
Rakuten Inc.,Tokyo,Japan
Univ. Paul Sabatier,Toulouse,France
Dalhousie University,Halifax,Canada
FTW Telecommunications Research Center,Vienna,Austria
Osaka Prefecture University,Osaka,Japan
"Institute of Software, Chinese Academy of Sciences, Beijing, Beijing",Beijing,China
Research Studios Austria,Vienna,Austria
"t2i Lab, Chalmers",Gothenburg,Sweden
Technical University of Valencia,Valencia,Spain
Universidad Publica de Navarra,Pamplona,Spain
KTH The Royal Institute of Technology,Stockholm,Sweden
