|San Diego|US
3M Company|Austin|US
Aalborg University|Aalborg|Denmark
Aalborg University|Copenhagen|Denmark
Aalto University|Espoo|Finland
Aalto University|Helsinki|Finland
Aarhus University|Aarhus|Denmark
"Aaron Marcus and Associates, Inc.|Berkeley|US"
Abertawe Bro Morgannwg University (ABMU) Health Board|Swansea|UK
Academia Sinica|Taipei|Taiwan
Accenture|New York|US
ACES|RENNES|France
Active Ingredient|Nottingham|UK
"Adobe Systems, Inc.|San Jose|US"
Adobe Systems|San Francisco|US
Adobe|Munich|Germany
Adobe|Seattle|US
"Advanced Man-Machine Interface Lab, University of Alberta|Edmonton|Canada"
Aix Marseille University|Aix Marseille|France
Ajou University|Suwon|Republic of Korea
"aKAP Innovation, LLC|Rochester|US"
Akron Children's Hospital|Akron|US
Alcatel-Lucent Bell Labs|Bangalore|India
Alcatel-Lucent Bell Labs|Murray Hill|US
Alcatel-Lucent Bell Labs|Nozay|France
Alcatel-Lucent|Dublin|Ireland
Alcatel-Lucent|Nozay|France
Alexandra Institute|Aarhus|Denmark
AmbieSense Ltd|Aberdeen|UK
American Institutes for Research|Washington|US
Amsterdam University of Applied Sciences|Amsterdam|The Netherlands
Archimedes Exhibitions GmbH|Berlin|Germany
Arizona State University|Mesa|US
Arizona State University|Phoenix|US
Arizona State University|Tempe|US
Arts et Metiers ParisTech|Bordeaux|France
Arts et Metiers ParisTech|Paris|France
ASPECT|Blacksburg|US
AT&T Foundry|Palo Alto|US
AT&T Labs Research|Florham Park|US
ATR Intelligent Robotics and Communication Laboratories|Soraku-gun|Japan
Augsburg University of Applied Sciences|Augsburg|Germany
Augsburg University|Augsburg|Germany
Australian Museum|Sydney|Australia
Australian National University|Canberra|Australia
Autodesk Research|Toronto|Canada
"Autodesk, Inc.|Lake Oswego|US"
"Autodesk, Inc.|San Francisco|US"
"Autodesk, Inc.|Waltham|US"
Ayogo Games Inc.|Vancouver|Canada
Babson College|Wellesley|US
Backbase|Amsterdam|The Netherlands
Bangladesh University of Engineering and Technology|Dhaka|Bangladesh
Banque Privee Edmond de Rothschild|Geneva|Switzerland
Bar Ilan University|Ramat Gan|Israel
Bard Colleg|Annandale-on-Hudson|US
Barry University|Miami Shores|US
Bath Spa University|Bath|UK
Baylor University|Waco|US
BBC|Manchester|UK
Beat Bullying|London|UK
Beihang University|Beijing|China
Beijing Institute of Technology|Beijing|China
Beijing University of Posts and Telecommunications|Beijing|China
Beijng Institute of Fashion Technology|Beijing|China
Bell Labs Research India|Bangalore|India
Ben-Gurion University of the Negev|Beer-Sheva|Israel
Benetas|Melbourne|Australia
Beth Israel Deaconess Medical Center|Boston|US
BI Norwegian School of Business|Oslo|Norway
BILTIR / Middle East Technical University|Ankara|Turkey
"Birkbeck College, University of London|London|UK"
Birzeit University|Birzeit|Israel
Blekinge Institute of Technology|Karlskrona|Sweden
BMW Research and Technology|Munich|Germany
Bonsai Development Corporation|Woodside|US
Bowie State University|Bowie|US
Bowling Green State University|Bowling Green|US
"Brain science institute, RIKEN|Wako|Japan"
Brigham Young University|Provo|US
Bristol University|Bristol|UK
British Broadcasting Corporation|London|UK
British Broadcasting Corporation|Manchester|UK
Brown University|Providence|US
Brunel University|London|UK
Budapest University of Technology and Economics|Budapest|Hungary
Bunkyo|Tokyo|Japan
Bureau of Economic Interpretation|Berkeley|US
C-DAC|Pune|India
California College of the Arts|San Francisco|US
Cambridge City Countil|Cambridge|UK
Cancer Council Victoria|Carlton|Australia
Canterbury Christ Church University|Canterbury|UK
Capgemini|Utrecht|The Netherlands
Caritas Institute of Higher Education|Hong Kong|Hong Kong
Carleton University|Ottawa|Canada
Carnegie Mellon University - Silicon Valley|Moffett Field|US
Carnegie Mellon University|Pittsburgh|US
Case Western Reserve University|Cleveland|US
CASED|Darmstadt|Germany
Catholic University of Milan|Milan|Italy
CBS|Frederiksberg|Denmark
CEA LIST|Fontenay-aux-Roses|France
