"ID","Date","Time","End Time","Track","Title","Chair(s)","Chair Affiliation(s)","Location","End Time","Notes","Web Page","Submission IDs"
"53","May 6, 2012","13:00","16:00","A","Course 1A: Human-Computer Interaction: Introduction and Overview","Keith Butler, Robert Jacob, David Kieras","","19A/B","","","","cr111"
"218","May 6, 2012","16:30","19:30","A","Course 1B: Supporting Community with Social Media","John M. Carroll, Cliff Lampe","","19A/B","","","","cr151"
"12","May 7, 2012","08:30","10:15","D","Opening Plenary","Ed H. Chi, Kristina Höök","","D","","","",""
"219","May 7, 2012","10:15","11:00","D","Madness","Paul André, Petra Sundström","","D","","","",""
"124","May 7, 2012","11:30","12:50","A","Spectators ","","","19A/B","12:50","","","paper1126 paper340 paper1359 to106"
"58","May 7, 2012","11:30","12:50","B","Course 2: Evaluating Children's Interactive Products","Janet Read, Panos Markopoulos","","14R","12:50","","","cr150"
"62","May 7, 2012","11:30","12:50","C","Course 3: Global UX Strategies","Tony Fernandes","","15R","12:50","","","cr149"
"117","May 7, 2012","11:30","12:50","D","Leveraging the Crowd","","","D","12:50","","","paper1959 paper554 paper256 paper1133"
"118","May 7, 2012","11:30","12:50","E","Curves and Mirages: Gestures and Interaction with Nonplanar Surfaces","","","E","12:50","","","paper1912 paper209 paper1700 paper396 paper854"
"43","May 7, 2012","11:30","12:50","F","Women in User Experience Leadership","Janaki Kumar, Dan Rosenberg, Catherine Courage, Janice Rohn, Lisa Kamm, Lisa Anderson, Christine Holsberry, Apala Lahiri Chavan","","F","12:50","","","pl103"
"121","May 7, 2012","11:30","12:50","G","Getting Around: Menus, Scrolling, and Advanced Navigation","","","G","12:50","","","paper465 paper484 paper1053 paper412"
"204","May 7, 2012","11:30","12:50","H","Teaching with New Interfaces","","","17A","12:50","","","paper832 cs191 cs171 paper1274"
"133","May 7, 2012","11:30","12:50","J","Game Experiences","","","18A/B","12:50","","","paper481 paper1378 paper1330 paper602"
"136","May 7, 2012","11:30","12:50","K","Eating + Cooking","","","18C/D","12:50","","","paper808 paper1182 paper1539 paper512"
"139","May 7, 2012","11:30","12:50","L","AI & Machine-Learning & Translation","","","12A/B","12:50","","","paper408 paper1174 paper1699 paper1271 paper1121"
"67","May 7, 2012","11:30","12:50","M","Course 4: The Role of the UX Professional on an Agile Team","Karen Holtzblatt, Hugh Beyer","","13A","12:50","","","cr112"
"54","May 7, 2012","11:30","12:50","N","Course 5: Art and HCI in Collaboration","David England, Jill Coffin, Celine Latulipe, Thecla Schiphorst","","13B","12:50","","","cr133"
"63","May 7, 2012","11:30","12:50","O","Course 6: Introduction to Research and Design for Sustainability","Daniela Busse, Eli Blevis","","11A","12:50","","","cr142"
"17","May 7, 2012","11:30","12:50","P","SIG 2","","","11B","12:50","","",""
"127","May 7, 2012","11:30","12:50","Q","Touch in Context","","","16A/B","12:50","","","paper791 paper631 paper1833 paper730"
"125","May 7, 2012","14:30","15:50","A","Workplace","","","19A/B","15:50","","","paper1758 cs143 paper1587 cs102 paper1523"
"65","May 7, 2012","14:30","15:50","B","Course 9: Practical Statistics for User Research Part I","Jeff Sauro, James Lewis","","14R","15:50","","","cr106"
"56","May 7, 2012","14:30","15:50","C","Course 7: Assessing Usability Capability Using ISO Standards","Nigel Bevan","","15R","15:50","","","cr137"
"9","May 7, 2012","14:30","15:50","D","Lifetime Practice Achievement: Joy Mountford","","","D","15:50","","","sp109"
"119","May 7, 2012","14:30","15:50","E","Brain and Body","","","E","15:50","","","paper992 paper818 paper2022 paper933 paper1392"
"51","May 7, 2012","14:30","15:50","F","Digital Arts, HCI, and Innovation","Jill Fantauzzacoffin","","F","15:50","","","pl119"
"122","May 7, 2012","14:30","15:50","G","Empathy and Technology: Focus on the End User","","","G","15:50","","","paper1429 paper494 paper1071 paper1236 cs169"
"131","May 7, 2012","14:30","15:50","H","Immateriality as a Design Feature","","","17A","15:50","","","paper679 paper892 paper1444 paper196"
"134","May 7, 2012","14:30","15:50","J","Privacy + Self Disclosure","","","18A/B","15:50","","","paper982 paper1043 paper1172 paper1116 paper1233"
"137","May 7, 2012","14:30","15:50","K","Supporting Visually Impaired Users","","","18C/D","15:50","","","paper1716 paper845 paper174 paper2019"
"1","May 7, 2012","14:30","15:50","L","alt.chi 1","Amanda Williams, Erica Robles","","12A/B","15:50","","",""
"59","May 7, 2012","14:30","15:50","M","Course 8: Evidenced-Based Social Design of Online Communities","Robert Kraut, Paul Resnick","","13A","15:50","","","cr138"
"55","May 7, 2012","14:30","15:50","N","Course 5: Art and HCI in Collaboration","David England, Jill Coffin, Celine Latulipe, Thecla Schiphorst","","13B","15:50","","","cr133"
"64","May 7, 2012","14:30","15:50","O","Course 6: Introduction to Research and Design for Sustainability","Daniela Busse, Eli Blevis","","11A","15:50","","","cr142"
"18","May 7, 2012","14:30","15:50","P","SIG 3","","","11B","15:50","","",""
"128","May 7, 2012","14:30","15:50","Q","Text Visualization","","","16A/B","15:50","","","paper1978 paper1620 paper2001 paper1970"
"126","May 7, 2012","16:30","17:50","A","HCI4D: Business","","","19A/B","17:50","","","paper228 cs135 cs194 cs120"
"66","May 7, 2012","16:30","17:50","B","Course 9: Practical Statistics for User Research Part I","Jeff Sauro, James Lewis","","14R","17:50","","","cr106"
"57","May 7, 2012","16:30","17:50","C","Course 7: Assessing Usability Capability Using ISO Standards","Nigel Bevan","","15R","17:50","","","cr137"
"14","May 7, 2012","16:30","17:50","D","Invited lecture: Richard Shusterman","Richard Shusterman, Thecla Schiphorst, Jeffrey Bardzell","","D","17:50","","","sp105"
"120","May 7, 2012","16:30","17:50","E","Hot Moves: Shape-changing and Thermal Interfaces","","","E","17:50","","","paper1046 paper373 paper1411 paper359 paper1888"
"41","May 7, 2012","16:30","17:50","F","Creating Great User Experience: Facing the Challenges Ahead","#N/A","","F","17:50","","","pl121"
"123","May 7, 2012","16:30","17:50","G","Intimacy and Connection","","","G","17:50","","","paper136 paper1145 paper1841 paper1817 paper1202"
"132","May 7, 2012","16:30","17:50","H","Performative Emergency Simulation","","","17A","17:50","","","to111 paper1548 paper1652 to123"
"135","May 7, 2012","16:30","17:50","J","Tools for Video + Images","","","18A/B","17:50","","","paper981 paper1366 paper499 paper1766 paper178 paper1015"
"130","May 7, 2012","16:30","17:50","K","Sustainability and Behavior Change","","","18C/D","17:50","","","paper532 paper1023 paper416 paper726 paper1052"
"2","May 7, 2012","16:30","17:50","L","alt.chi 2","Amanda Williams, Erica Robles","","12A/B","17:50","","",""
