"ID","Date","Time","End Time","Track","Title","Chair(s)","Chair Affiliation(s)","Location","End Time","Notes","Web Page","Submission IDs"
"W11","May 5, 1900","09:00","10:00","A","Visual Thinking & Digital Imagery","Eli Blevis, Elizabeth Churchill, William Odom, James Pierce, David Roedl, Ron Wakkary","","19A","17:00:00","","","wo130"
"W6","May 5, 1900","09:00","10:00","B","The 3rd Dimension of CHI (3DCHI): Touching and Designing 3D User Interfaces","Hrvoje Benko, Antonio Krüger, Daniel Keefe, Jean-Baptiste de la Rivière, Frank Steinicke, Ken Anderson, Jonna Häkkilä, Leena Arhippainen, Minna Pakanen","","14","17:00:00","","","wo107"
"W18","May 5, 1900","09:00","10:00","C","Ar-CHI-tecture: Architecture and Interaction","Nicholas Dalton, Keith Green, Paul Marshall, Ruth Dalton, Christoph Hoelscher, Anijo Mathew","","15","17:00:00","","","wo154"
"W5a","May 5, 1900","09:00","10:00","F","Educational Interfaces, Software, and Technology (day 1 of 2)","Edward Tse, Lynn Marentette, Syed Ishtiaque Ahmed, Alexander Thayer, Jochen Huber, Max Mühlhäuser, Si Jung Kim, Quincy Brown","","F","17:00:00","","","wo153"
"W3a","May 5, 1900","09:00","10:00","G","CrowdCamp: Rapidly Iterating Ideas Related to Collective Intelligence & Crowdsourcing (day 1 of 2)","Paul André, Michael Bernstein, Mira Dontcheva, Elizabeth Gerber, Niki Kittur, Rob Miller","","G","17:00:00","","","wo119"
"W8","May 5, 1900","09:00","10:00","H","HCI for Peace: Preventing, De-Escalating and Recovering from Conflict","Juan Pablo Hourcade, Natasha Bullock-Rest, Janet Davis, Lahiru Jayatilaka, Neema Moraveji, Lisa Nathan, Panayiotis Zaphiris","","17A","17:00:00","","","wo113"
"W19","May 5, 1900","09:00","10:00","I","Designing and Evaluating Text Entry Methods","Per Ola Kristensson, James Clawson, Mark Dunlop, Poika Isokoski, Brian Roark, Keith Vertanen, Annalu Waller, Jacob Wobbrock","","17B","17:00:00","","","wo157"
"W7","May 5, 1900","09:00","10:00","J","Emerging Technologies for Healthcare and Aging","Tracy Mitzner, Marita O'Brien, Wendy Rogers","","18A","17:00:00","","","wo108"
"W15","May 5, 1900","09:00","10:00","K","I Just Love This Product! Looking into Wow Products, from Analysis to Heuristics","Jettie Hoonhout, Bernt Meerbeek, Elizabeth Buie","","18C","17:00:00","","","wo147"
"W33","May 5, 1900","09:00","10:00","L","Qualitative Research in HCI","Jennifer Rode, Mark Blythe, Bonnie Nardi","","12A","17:00:00","","","wo158"
"W16","May 5, 1900","09:00","10:00","M","Methods to Account for Values in Human-Centered Computing","Christian Detweiler, Alina Pommeranz, Luke Stark","","13A","17:00:00","","","wo151"
"W10","May 5, 1900","09:00","10:00","N","Defamiliarization in Innovation and Usability","Charline Poirier, Calum Pringle","","13B","17:00:00","","","wo123"
"W12","May 5, 1900","09:00","10:00","Q","Distributed User Interfaces: Collaboration and Usability","Ricardo Tesoriero, María Lozano, Jean Vanderdonckt, José A. Gallud, Víctor M. R. Penichet","","16A","17:00:00","","","wo139"
"W9","May 5, 1900","09:00","10:00","R","A Contextualised Curriculum for HCI","Sally Fincher, Paul Cairns, Alan Blackwell","","16B","17:00:00","","","wo114"
"W13","May 5, 1900","09:00","10:00","S","Bridging Clinical and Non-clinical Health Practices: Opportunities and Challenges","Yunan Chen, Charlotte Tang, Karen Cheng, Sun Young Park","","19B","17:00:00","","","wo142"
