"ID","Date","Time","End Time","Track","Title","Chair(s)","Chair Affiliation(s)","Location","End Time","Notes","Web Page","Submission IDs"
"53","May 6, 2012","14:00","17:00","A","Course 1A: Human-Computer Interaction: Introduction and Overview","Keith Butler, Robert Jacob, David Kieras","","19AB","16:00","","","cr111"
"227","May 6, 2012","17:30","20:30","A","Course 1B: Supporting Community with Social Media","John M. Carroll, Cliff Lampe","","19AB","19:30","","","cr151"
"12","May 7, 2012","08:30","10:15","D","Opening Plenary","Ed H. Chi, Kristina Höök","Google, Mobile Life @ KTH","Ballroom D","10:15","","","sp112"
"219","May 7, 2012","10:15","11:00","D","Madness","Paul André, Petra Sundström","","Ballroom D","11:00","","",""
"124","May 7, 2012","11:30","12:50","A","Spectators ","Barry Brown","University of California San Diego, USA","19AB","12:50","","","paper1126 paper340 paper1359 to106"
"58","May 7, 2012","11:30","12:50","B","Course 2: Evaluating Children's Interactive Products","Janet Read, Panos Markopoulos","","14","12:50","","","cr150"
"62","May 7, 2012","11:30","12:50","C","Course 3: Global UX Strategies","Tony Fernandes","","15","12:50","","","cr149"
"14","May 7, 2012","11:30","12:50","D","Invited lecture: Richard Shusterman","Thecla Schiphorst, Jeffrey Bardzell","Simon Fraser University, Canada, Indiana University, US","Ballroom D","12:50","","","sp105"
"118","May 7, 2012","11:30","12:50","E","Curves and Mirages: Gestures and Interaction with Nonplanar Surfaces","Per Ola Kristensson","University of St Andrews, UK","Ballroom E","12:50","","","paper1912 paper209 paper1700 paper396 paper854"
"117","May 7, 2012","11:30","12:50","F","Leveraging the Crowd","Andrea Forte","Drexel University, USA","Ballroom F","12:50","","","paper1959 paper554 paper256 paper1133"
"121","May 7, 2012","11:30","12:50","G","Getting Around: Menus, Scrolling, and Advanced Navigation","Emmanuel Pietriga","INRIA, France","Ballroom G","12:50","","","paper465 paper484 paper1053 paper412"
"204","May 7, 2012","11:30","12:50","H","Teaching with New Interfaces","Leila Takayama","Willow Garage, USA","17AB","12:50","","","paper832 cs191 cs171 paper1274"
"133","May 7, 2012","11:30","12:50","J","Game Experiences","Katherine Isbister","NYU-Poly, USA","18AB","12:50","","","paper481 paper1378 paper1330 paper602"
"136","May 7, 2012","11:30","12:50","K","Eating + Cooking","Wendy Ju","California College of the Arts, USA","18CD","12:50","","","paper808 paper1182 paper1539 paper512"
"139","May 7, 2012","11:30","12:50","L","AI & Machine-Learning & Translation","Tessa Lau","IBM Almaden Research Center, USA","12AB","12:50","","","paper408 paper1174 paper1699 paper1271 paper1121"
"67","May 7, 2012","11:30","12:50","M","Course 4: The Role of the UX Professional on an Agile Team","Karen Holtzblatt, Hugh Beyer","","13A","12:50","","","cr112"
