i102,i304,Touché
i107,i328,HERZFASSEN
i112,i411,EyeRing
i113,i313,Combiform
i114,i421,Pygmy
i115,i417,Interactive Block Device System
i116,i436,sifteo
i117,i316,Sonik Spring
i121,i405,360° Panoramic Overviews for LBS
i126,i408,AMARA
i127,i305,Communitysourcing
i129,i308,Rewarding the Original
i130,i406,ShoeSense
i134,i426,Urban Musical Game
i136,i318,MUSTARD
i137,i320,Lovely Rita
i142,i315,BinCam
i144,i319,RobotBuddha
i145,i326,Hanging off a Bar
i147,i424,Augmented Snapshots
i148,i306,Virtual Reality Dialogue System
i153,i500,Joggobot
i159,i317,Surround Haptics
i160,i325,hipDisk
i163,i330,sketch a vignette!
i164,i329,Embroidered Confessions
i169,i311,Enabling Concurrent Dual Views on Common LCD Screens
i171,i437,mobile app
i173,i303,MelodicBrush
i174,i407,Mobile ActDresses
i177,i410,Scoop!
i180,i440,ManySpector
i182,i431,Musical Paper Substrates
i184,i312,Beyond Stereo
i186,i423,Miniature Alive
i189,i310,taste interaction
i190,i438,TEROOS
i197,i439,Animating Paper
i198,i416,Stackables
i199,i427,GraphTrail
i200,i307,panavi
i202,i409,exerbike
i205,i420,The Chocolate Machine
i206,i432,Discovery-based Games for Learning Software
i207,i422,PINOKY
i209,i314,Virtual Projection
i210,i412,IllumiShare
i215,i327,Touchbox
i220,i418,Bohemian Bookshelf
i229,i302,Please Smile
i231,i414,Visual Display of Sociotechnical Data
i236,i413,"Sketch It, Make It"
i238,i415,TAP & PLAY
i242,i425,AHNE
i245,i419,envisioning cards
i246,i321,telehuman
i249,i433,free air touch
i252,i428,QuickDraw
i253,i434,flexcam
i254,i435,Toolset / visual designs in a video game
i259,i429,A Handle Car Metaphor
i265,i430,display stacks
i266,i321,telehuman
i267,i309,DiskPlay
i270,i300,Murmur Study
i271,i301,HWD Corporation
i272,i324,scoreLight & scoreBots
i273,i322,Light Arrays
,,
,,
,,
,,
,,
