ID,Community,Title,Contact given name,Contact family name,Author list,Keywords,Abstract,Subcommittee Selection,Contribution Type Selection,Paper vs. Note
paper104,"design, arts",Fly: Studying the Perception of Canvas Presentations,Leonhard,Lichtschlag,"Leonhard Lichtschlag, Thorsten Karrer, Thomas Hess",Creativity Support Tools; Visualization; E-Learning and Education; User Studies,"Most presentation software uses the slide deck metaphor to create visual presentation support. Recently, canvas presentation tools such as Fly or Prezi have begun to use a zoomable free-form canvas to arrange information instead. While their effect on authoring presentations has been evaluated previously, we studied how they impact the audience. In a quantitative study, we compared audience retention and macrostructure understanding of slide deck vs. canvas presentations. We found both approaches to be equally capable of communicating information to the audience. Canvas presentations, however, were rated by participants to better aid them in staying oriented during a talk. This makes canvas presentation tools a promising slideware alternative.",Applic.,Refinement,Note
paper340,"design, arts",Urban HCI: Spatial Aspects in the Design of Shared Encounters for Media Façades,Patrick Tobias,Fischer,"Patrick Tobias Fischer, Eva Hornecker","Interaction Design; Augmented Reality and Tangible UI; Context-Aware Computing; Input and Interaction Technologies; Ubiquitous Computing / Smart Environments; Empirical Methods, Qualitative; Ethnography; Design Planning; Product Design; User Experience Design / Experience Design; Tangible UIs","Designing interactive applications for Media Façades is a \ challenging task. Architectural sized large-scale screens can \ result in unbalanced installations, and meaningful interaction \ is easily overshadowed by the drastic size of the display. \ In this paper we reflect on urban technology \ interventions by analyzing their spatial configuration in relation \ to the structuring of interaction. We outline basic \ categories and offer a new terminology to describe these interactive \ situations designed for the built environment.",J-Design,Theory,Paper
paper592,"design, arts",DiskPlay: In-Track Navigation on Turntables,Florian,Heller,"Florian Heller, Jan Borchers",Augmented Reality and Tangible UI; Tangible UIs; Creativity Support Tools,"Although digital media playback and storage has several advantages, the direct manipulation of the record and the haptics of the turntable makes vinyl the preferred tool for many DJs. The physical structure of traditional vinyl provides several cues for in-track navigation such as track length or the mood of the song. Digital vinyl systems use a timecode record to combine the advantages of digital playback with the handling DJs are used to. The record contains a special audio signal that is processed by a computer and mapped to information such as playback speed, direction, and absolute position. However, the visualization is separated from the control and due to their generic nature, timecode records do not provide visual information for in-track navigation. DiskPlay augments a timecode record with visual cues known from traditional vinyl or common DJ practice. In an observational study with four professional DJs the system was received very well and showed to reduce the number of focus switches.",Cap. & Mod.,Innov. & Vis.,Note
paper740,"design, arts",Vignette: Interactive Texture Design and Manipulation with Freeform Gestures for Pen-and-Ink Illustration,Shengdong,Zhao,"Rubaiat Habib Kazi, Takeo Igarashi, Shengdong Zhao, Richard Davis",Entertainment; Pen and Tactile Input; Interaction Design; Prototyping; Process Improvement; User Interface Design; Pen-based UIs; Creativity Support Tools,"We present Vignette, an interactive system for pen-and-ink illustration that preserves illustrators’ workflow and style. Vignette provides a novel painting workflow, where the user draws a fraction of a texture and the system automatically extends it along the guiding strokes or fills a region with the texture. It facilitates the creation of a wide range of textures with built in texture synthesis capabilities, including 1D and 2D synthesis with stitching. Our system also has, interactive refinement and editing capabilities to provide a higher level texture control, which helps artists achieve their desired vision. Our user study with professional artists shows that Vignette makes the process of illustration more enjoyable and that first time users can create rich textures from scratch within minutes.",J-Design,Innov. & Vis.,Paper
paper730,"design, arts",StoryCrate: Tabletop Storyboarding for Live Film Production,Tom,Bartindale,"Tom Bartindale, Alia Sheikh, Nick Taylor, Peter Wright, Patrick Olivier",Creativity Support Tools; Video Content / Communications; Entertainment; Prototyping,"Since its conception in 1926 television has become a part of our everyday life, but how much do we know about how it is made? Broadcast content is consumed at an astounding rate through many different mediums, and yet the pressure is on to produce quality product cheaper and faster. Technology advances have been made in capture and editing, but these technologies are often disparate and discrete within the workflow. Can we facilitate creativity among crew members, making use of new interaction technologies? We present a tangible interface for on-location film shoots which facilitates creative media production among the crew, and discuss a number of interesting interactions that were elicited from an initial study with the device.",Beyond Indiv.,Innov. & Vis.,Paper
paper611,"design, arts, health","Enabling Self, Intimacy and a Sense of Home in Dementia: An Enquiry into Design in a Hospital Setting",Jayne,Wallace,"Jayne Wallace, Anja Thieme, Gavin Wood, Guy Schofield, Patrick Olivier","Emotion and Affective User Interface; Elderly; Health Care; Design Methods (Design Rationale, Claims Analysis, Scenarios, Storyboards)","Design and digital technologies to support a sense of self and human relationships for people living with dementia are both urgently needed. We present an enquiry into design for dementia facilitated by a public art commission for an adult mental health unit in a hospital in the UK. The interactive art piece was informed by the notion of personhood in dementia that foregrounds the person's social being and interpersonal relationships as sites where self is maintained and constructed. How clients, clients' family members and staff used the piece is reported and insights related to the notions of home, intimacy, possessions and self are presented. The art piece served as window on both dementia and the institution leading to a number of insights and implications for design.",K-People,Users,Paper
paper1822,"design, arts",Becoming-Sound: Affect and Assemblage in Improvisational Digital Music-Making,Benjamin,Swift,Benjamin Swift,"User Experience Design / Experience Design; Handheld Devices and Mobile Computing; Empirical Methods, Qualitative","  The concepts of affect and assemblage proposed by critical \   thinkers such as Gilles Deleuze and Brian Massumi have had little \   impact in mainstream HCI theory.  However, these concepts can be of \   assistance in understanding the interactions that take place between \   users and artefacts in interactive systems, particularly in the \   context of computer-supported creativity.  In this paper we provide an introduction \   to affect and assemblage theory for HCI practitioners.  We then use \   a case study of Viscotheque, an iOS-based interface for group \   musical collaboration, to demonstrate the application of affective \   analysis in making sense of complex interaction. \ ",S-Design,Theory,Paper
paper1904,"design, arts",What Else Should We Expect  From Research Through Design?,William,Gaver,William Gaver,Interaction Design; Industrial Design; Concept Design; Product Design; User Experience Design / Experience Design,"In this essay, I explore several facets of research through design in order to contribute to discussions about how the approach should develop. The essay has three parts. In the first, I review a range of theoretical work that has emerged from research through design, and use two influential theories from the Philosophy of Design to help reflect on the nature of design theory. In the second part, I discuss three possible interpretations for the diversity of approaches to research through design, and suggest that this variation need not be seen as a sign of inadequate standards or a lack of cumulative progress in the field. In the final section, I suggest that, rather than aiming to develop increasingly comprehensive theories of design, practice based research might better view theory as annotation of realised design examples, and particularly portfolios of related pieces. Overall, I suggest that the design research community should embrace its theories as provisional, inspirational and annotative, its diversity as a positive implication of its field of investigation, and its tendency to produce an endless string of artefacts as its highest goal.",S-Design,Argument,Paper
paper1987,"design, arts",ClayVision: The (Elastic) Image of the City,Yuichiro,Takeuchi,"Yuichiro Takeuchi, Ken Perlin",Augmented Reality; Augmented Reality and Tangible UI; Handheld Devices and Mobile Computing,"In this paper we describe ClayVision, a new quasi-immersive urban navigation system that rethinks the design conventions of existing Augmented Reality (AR) applications, by aggressively incorporating knowledge from non-Computer Science fields-namely Information Design and Urban Planning. Instead of the prevailing approach of pasting ""information bubbles"" onto the existing urban scenery, ClayVision communicates through real-time 3D transformations of city elements. In other words, the system dynamically probes and reassembles the city into a better-designed copy of the original, that is both easier to navigate and tailored to suit the user's needs and preferences. We provide extensive discussions that cover the technical details of the system, the types of city-morphing operations that can be effectively applied, and what people's experiences will be in the newly ""elastic"" city. ",S-Design,Innov. & Vis.,Paper
paper373,"design, cci",PINOKY: A Ring That Animates Your Plush Toys,Yuta,Sugiura,"Yuta Sugiura, Calista Lee, Masayasu Ogata, Yasutoshi Makino, Daisuke Sakamoto, Masahiko Inami, Takeo Igarashi",Tangible UIs; Ubiquitous Computing / Smart Environments; Interaction Design; Robots,"PINOKY is a wireless ring-like device that can be externally attached to any plush toy as an accessory that animates the toy, such as by moving its limbs. A user is thus able to instantly convert any plush toy into a soft robot. The user can control the toy remotely or input the movement desired by moving the plush toy and having the data recorded and played back. Unlike other methods for animating plush toys, PINOKY is non-intrusive, so alterations to the toy are not required. In a user study, 1) the roles of plush toys in the participants’ daily lives were examined, 2) how the participants played with plush toys without PINOKY was observed, 3) how they played with plush toys with the device was observed and their reactions to the device were surveyed. On the basis of the results, potential applications were conceptualized to illustrate the utility of PINOKY.",S-Design,Refinement,Paper
